ticker
CSCO
UAL
TROW
ISRG
NVR
PRGO
TPR
DVN
CE
MRO
BA
VRTX
GILD
NLSN
EQIX
TIF
MDT
V
QRVO
A
FOX
FLT
MO
SWKS
MCHP
CDNS
WLTW
MSCI
CHTR
EIX
BBY
WBA
LVS
HCA
AJG
DTE
C
T
CF
DISH
MGM
HUM
CBOE
CFG
WU
APH
SYY
MSI
FCX
ADM
LH
PKI
LNT
BAC
LNC
PSX
GPN
PPG
IRM
IQV
ESS
NOV
HAL
STZ
FLS
DXC
ADI
F
ADBE
CPRT
TDG
TFX
ULTA
ARE
SYK
CB
TSN
PEP
PEG
NOW
LLY
COST
REG
NWS
LOW
MDLZ
BKNG
ZBRA
FMC
XEL
AIZ
CERN
MET
FTV
DLR
XRAY
FAST
TJX
SNA
MPC
BR
D
MRK
STX
NOC
BXP
KHC
IPG
UNP
ALLE
ABBV
ORCL
ECL
ETR
EBAY
SBUX
IR
AMT
INTU
DPZ
PAYC
DRE
CMA
IPGP
PG
CAT
ODFL
MCD
MNST
AMZN
INTC
PNR
GLW
BDX
KMI
PWR
APTV
DXCM
EXR
WELL
HOLX
EXPD
GM
TXN
VRSK
SJM
TMO
OXY
RL
CCI
MMM
MOS
FTNT
HSY
JNPR
DHI
ED
ES
ADSK
GL
IP
EXPE
KO
PCAR
WDC
PYPL
NEE
UPS
FLIR
LEG
EMR
MSFT
ANSS
CTAS
BIO
UDR
WEC
AME
IT
DD
ACN
VRSN
EW
CMG
AWK
COO
SHW
HPQ
AMAT
CCL
MLM
AVY
AAP
ATVI
EVRG
EA
DE
SPG
AMD
MYL
KLAC
NDAQ
URI
WHR
RTX
PNC
KMX
WRK
BIIB
NVDA
CHRW
ROP
IDXX
EXC
HES
HD
ALB
VLO
AON
ZTS
FDX
DG
TYL
HIG
CMS
CAG
INCY
SCHW
HSIC
AZO
AXP
HPE
DFS
SEE
HRL
SO
FRT
ZBH
FRC
CME
XOM
AMP
CVX
ETFC
CMCSA
PNW
ICE
CTXS
BEN
DISCK
UHS
BKR
EMN
SBAC
ROK
NRG
NSC
NKE
FIS
FANG
VTR
MAS
RF
AMCR
TAP
MAR
XYL
CMI
FB
MTD
VAR
NLOK
KR
PLD
IBM
USB
BSX
LKQ
FBHS
LIN
ITW
TWTR
EOG
PVH
KMB
PEAK
SPGI
NEM
WFC
CTVA
EL
GS
GD
CNP
PM
RE
MCO
CLX
CAH
HRB
DGX
AVB
DIS
CBRE
GE
HII
LDOS
ALL
ETN
ALGN
NFLX
LEN
FITB
WST
GWW
NTRS
CVS
CTL
AOS
FE
ABC
JPM
ABT
CXO
OMC
COF
TSCO
PH
HST
JBHT
ATO
COP
DHR
COG
CNC
MCK
TXT
MTB
HFC
DISCA
AKAM
ROL
RMD
WRB
GOOGL
ANET
PAYX
ALK
DRI
ILMN
AAL
XLNX
MAA
MMC
FOXA
FFIV
VNO
CINF
VMC
MKTX
SRE
LHX
ORLY
IVZ
RCL
PXD
COTY
SNPS
GOOG
SIVB
YUM
LYV
KSS
PFE
AIV
AVGO
DUK
REGN
CL
VFC
UA
VZ
JCI
AMGN
TEL
JKHY
ADP
LB
STT
RSG
IFF
ANTM
GPS
BLL
CARR
QCOM
LYB
GIS
PHM
ROST
LUV
ALXN
LW
MS
CPB
OKE
BK
J
SYF
CHD
SLG
HWM
MHK
TFC
INFO
DAL
APA
K
AFL
CSX
NI
PFG
NCLH
ZION
RJF
HBAN
UNH
PRU
GPC
FISV
WMB
EQR
MXIM
PBCT
KSU
DVA
AIG
MA
HBI
HON
O
NWSA
TTWO
AES
SLB
TT
XRX
TGT
AAPL
MKC
OTIS
TDY
WY
APD
GRMN
AEE
HLT
DLTR
STE
HAS
TMUS
WMT
NTAP
KIM
BAX
LMT
ABMD
KEY
UNM
KEYS
BMY
PSA
WYNN
RHI
EFX
NUE
PKG
NBL
WAB
CTSH
SWK
MU
TRV
L
AEP
CI
DOW
CDW
JNJ
WM
DOV
FTI
VIAC
CRM
PGR
WAT
IEX
BWA
LRCX
NWL
UAA
BLK
PPL
